Q1,Q2,Q3,Q4,Q5,Q6,Q7
Masculin,Science de Données,4,Passion pour le domaine,"Oui, mais il manque certains aspects pratiques",Devenir employé en grandes entreprises,Je suis indécis pour le moment.
Feminin,Science de Données,4,Programme de la spécialité jugé meilleur que les autres,"Non, pas suffisamment",Recherche scientifique,Je préfère continuer mon parcours à l'étranger.
Masculin,Sécurité Informatique,3,Opportunités de carrière,"Non, pas suffisamment",Devenir employé en grandes entreprises,Je préfère continuer mon parcours à l'étranger.
Masculin,Sécurité Informatique,1,Programme de la spécialité jugé meilleur que les autres,"Non, pas du tout",Je ne sais pas encore,Je suis indécis pour le moment.
Feminin,Sécurité Informatique,3,Passion pour le domaine,"Non, pas suffisamment",Créer une start-up,Je suis indécis pour le moment.
Masculin,Science de Données,5,Opportunités de carrière,"Oui, mais il manque certains aspects pratiques",Devenir employé en grandes entreprises,Je préfère continuer mon parcours à l'étranger.
Masculin,Science de Données,5,Opportunités de carrière,"Oui, mais il manque certains aspects pratiques",Recherche scientifique,Je suis indécis pour le moment.
Masculin,Intelligence Artificielle,4,Recommandations de proches ou d'enseignants,"Oui, mais il manque certains aspects pratiques","Domaine commerciale (par exemple, vente de produits, de formations etc..)",Je suis indécis pour le moment.
Masculin,Science de Données,4,Programme de la spécialité jugé meilleur que les autres,"Oui, mais il manque certains aspects pratiques",Travailler en freelance,Je préfère continuer mon parcours à l'étranger.
Masculin,Intelligence Artificielle,3,Choix par défaut ou manque d'autres options,"Oui, mais il manque certains aspects pratiques",Travailler en freelance,Je suis indécis pour le moment.
Masculin,Science de Données,5,Programme de la spécialité jugé meilleur que les autres,"Oui, mais il manque certains aspects pratiques",Créer une start-up,Je préfère continuer mon parcours à l'étranger.
Masculin,Sécurité Informatique,2,Passion pour le domaine,"Non, pas suffisamment",Recherche scientifique,Je suis indécis pour le moment.
Feminin,Science de Données,4,Passion pour le domaine,"Oui, complètement",Je ne sais pas encore,Je suis indécis pour le moment.
Masculin,Science de Données,5,Passion pour le domaine,"Oui, mais il manque certains aspects pratiques",Je ne sais pas encore,Je pense que l'Algérie est ou sera un bon pays pour l'informatique.
Masculin,Science de Données,4,Opportunités de carrière,"Non, pas suffisamment",Travailler en freelance,Je suis indécis pour le moment.
Masculin,Sécurité Informatique,4,Opportunités de carrière,"Non, pas suffisamment",Créer une start-up,Je suis indécis pour le moment.
Masculin,Sécurité Informatique,4,Opportunités de carrière,"Non, pas suffisamment",Travailler en freelance,Je pense que l'Algérie est ou sera un bon pays pour l'informatique.
Feminin,Science de Données,5,Opportunités de carrière,"Oui, mais il manque certains aspects pratiques","Domaine commerciale (par exemple, vente de produits, de formations etc..)",Je pense que l'Algérie est ou sera un bon pays pour l'informatique.
Feminin,Intelligence Artificielle,5,Choix par défaut ou manque d'autres options,"Non, pas suffisamment",Je ne sais pas encore,Je suis indécis pour le moment.
Feminin,Intelligence Artificielle,5,Choix par défaut ou manque d'autres options,"Non, pas suffisamment",Je ne sais pas encore,Je suis indécis pour le moment.
Masculin,Science de Données,4,Opportunités de carrière,"Oui, mais il manque certains aspects pratiques",Devenir employé en grandes entreprises,Je préfère continuer mon parcours à l'étranger.